ranking_id,top_name,level_id,position,requirement
1,PCR,3393,1,66
2,PCR,3226,2,60
3,PCR,2976,3,44
4,PCR,3199,4,42
5,PCR,2660,5,56
6,PCR,3304,6,57
7,PCR,2684,7,49
8,PCR,2713,8,53
9,PCR,3278,9,44
10,PCR,3299,10,66
11,PCR,3369,11,51
12,PCR,2928,12,50
13,PCR,3320,13,47
14,PCR,3275,14,65
15,PCR,2653,15,34
16,PCR,3368,16,40
17,PCR,2873,17,53
18,PCR,3389,18,52
19,PCR,2809,19,59
20,PCR,3109,20,61
21,PCR,2659,21,48
22,PCR,2687,22,63
23,PCR,2683,23,49
24,PCR,1706,24,53
25,PCR,2656,25,51
26,PCR,3096,26,44
27,PCR,2657,27,63
28,PCR,1724,28,49
29,PCR,2701,29,58
30,PCR,3351,30,68
31,PCR,2841,31,53
32,PCR,1748,32,58
33,PCR,1750,33,56
34,PCR,2655,34,64
35,PCR,2066,35,55
36,PCR,3352,36,54
37,PCR,3300,37,47
38,PCR,2830,38,51
39,PCR,3396,39,61
40,PCR,2688,40,56
41,PCR,2088,41,51
42,PCR,2485,42,55
43,PCR,1732,43,66
44,PCR,3281,44,62
45,PCR,3125,45,50
46,PCR,3350,46,59
47,PCR,3279,47,41
48,PCR,2658,48,74
49,PCR,2853,49,55
50,PCR,2050,50,49
51,PCR,2090,51,46
52,PCR,3228,52,53
53,PCR,3342,53,68
54,PCR,3355,54,56
55,PCR,1981,55,54
56,PCR,2513,56,49
57,PCR,2837,57,56
58,PCR,2535,58,45
59,PCR,2902,59,49
60,PCR,3061,60,56
61,PCR,2372,61,60
62,PCR,1963,62,52
63,PCR,3251,63,65
64,PCR,2925,64,54
65,PCR,2264,65,56
66,PCR,2492,66,57
67,PCR,3303,67,52
68,PCR,2418,68,48
69,PCR,2854,69,58
70,PCR,3398,70,60
71,PCR,1934,71,57
72,PCR,1653,72,52
73,PCR,1825,73,55
74,PCR,2083,74,39
75,PCR,3287,75,60
76,PCR,1638,76,57
77,PCR,1923,77,49
78,PCR,3337,78,65
79,PCR,2843,79,56
80,PCR,3285,80,41
81,PCR,2929,81,41
82,PCR,2685,82,54
83,PCR,2358,83,50
84,PCR,2478,84,55
85,PCR,2550,85,58
86,PCR,2967,86,60
87,PCR,3094,87,59
88,PCR,2563,88,59
89,PCR,3370,89,50
90,PCR,3399,90,66
91,PCR,2930,91,50
92,PCR,3127,92,49
93,PCR,3284,93,51
94,PCR,2200,94,51
95,PCR,3077,95,56
96,PCR,2537,96,48
97,PCR,2335,97,56
98,PCR,2570,98,53
99,PCR,3379,99,54
100,PCR,2696,100,49
101,PCR,3338,101,63
102,PCR,3354,102,47
103,PCR,2501,103,45
104,PCR,2387,104,57
105,PCR,2577,105,54
106,PCR,2689,106,52
107,PCR,3124,107,58
108,PCR,1857,108,53
109,PCR,1915,109,55
110,PCR,3282,110,50
111,PCR,1754,111,47
112,PCR,2692,112,53
113,PCR,2700,113,56
114,PCR,1733,114,61
115,PCR,1749,115,58
116,PCR,1892,116,45
117,PCR,3397,117,59
118,PCR,2536,118,55
119,PCR,2933,119,52
120,PCR,2477,120,59
121,PCR,3340,121,62
122,PCR,2673,122,57
123,PCR,3353,123,70
124,PCR,2236,124,50
125,PCR,2222,125,44
126,PCR,1740,126,50
127,PCR,1710,127,50
128,PCR,2946,128,59
129,PCR,3339,129,42
130,PCR,2622,130,52
131,PCR,1787,131,52
132,PCR,3341,132,50
133,PCR,2672,133,48
134,PCR,1589,134,45
135,PCR,1922,135,56
136,PCR,2719,136,67
137,PCR,2506,137,47
138,PCR,2870,138,58
139,PCR,2811,139,52
140,PCR,3095,140,54
141,PCR,2493,141,50
142,PCR,3276,142,49
143,PCR,1788,143,53
144,PCR,2831,144,51
145,PCR,2235,145,53
146,PCR,1893,146,59
147,PCR,1746,147,53
148,PCR,3229,148,55
149,PCR,1591,149,53
150,PCR,3286,150,55
151,PCR,2927,151,60
152,PCR,1919,152,59
153,PCR,2089,153,55
154,PCR,2479,154,48
155,PCR,3128,155,50
156,PCR,3283,156,40
157,PCR,2745,157,49
158,PCR,2515,158,56
159,PCR,2931,159,52
160,PCR,2932,160,53
161,PCR,1552,161,57
162,PCR,2707,162,52
163,PCR,2458,163,50
164,PCR,2280,164,58
165,PCR,2674,165,51
166,PCR,3302,166,45
167,PCR,1586,167,61
168,PCR,2543,168,44
169,PCR,2449,169,56
170,PCR,2675,170,49
171,PCR,2671,171,53
172,PCR,3301,172,47
173,PCR,3126,173,63
174,PCR,2871,174,54
175,PCR,3280,175,56
176,PCR,3371,176,100
177,PCR,1569,177,58
178,PCR,1725,178,61
179,PCR,1644,179,63
180,PCR,1698,180,40
181,PCR,3327,181,100
182,PCR,2512,182,55
183,PCR,3110,183,51
184,PCR,2742,184,54
185,PCR,2728,185,56
186,PCR,2718,186,58
187,PCR,2319,187,56
188,PCR,1578,188,76
189,PCR,1995,189,61
190,PCR,2287,190,73
191,PCR,1696,191,48
192,PCR,3027,192,57
193,PCR,2865,193,59
194,PCR,2296,194,56
195,PCR,1952,195,55
196,PCR,2520,196,63
197,PCR,1783,197,50
198,PCR,1650,198,52
199,PCR,2423,199,47
200,PCR,1621,200,55
201,PCR,2810,201,53
202,PCR,1563,202,55
203,PCR,2307,203,44
204,PCR,2720,204,56
205,PCR,1853,205,27
206,PCR,2926,206,59
207,PCR,2945,207,55
208,PCR,2237,208,53
209,PCR,2827,209,58
210,PCR,2744,210,52
211,PCR,2872,211,59
212,PCR,1707,212,59
213,PCR,1910,213,54
214,PCR,2544,214,54
215,PCR,1975,215,100
216,PCR,3274,216,100
217,PCR,2636,217,49
218,PCR,2383,218,69
219,PCR,1784,219,66
220,PCR,2006,220,51
221,PCR,2534,221,62
222,PCR,1752,222,55
223,PCR,2201,223,100
224,PCR,2305,224,50
225,PCR,2937,225,100
226,PCR,2711,226,47
227,PCR,2082,227,62
228,PCR,2541,228,66
229,PCR,2505,229,52
230,PCR,2392,230,58
231,PCR,3107,231,100
232,PCR,2564,232,55
233,PCR,1575,233,49
234,PCR,2828,234,56
235,PCR,2202,235,100
236,PCR,2898,236,100
237,PCR,2018,237,65
238,PCR,3060,238,100
239,PCR,2435,239,51
240,PCR,2634,240,100
241,PCR,1704,241,53
242,PCR,2304,242,51
243,PCR,2095,243,100
244,PCR,2464,244,100
245,PCR,3225,245,100
246,PCR,3273,246,100
247,PCR,2096,247,47
248,PCR,2285,248,60
249,PCR,2708,249,100
250,PCR,1588,250,57
251,PCR,2240,251,50
252,PCR,1551,252,63
253,PCR,1690,253,59
254,PCR,2712,254,100
255,PCR,2709,255,100
256,PCR,1756,256,50
257,PCR,3076,257,100
258,PCR,1858,258,51
259,PCR,1655,259,68
260,PCR,1579,260,53
261,PCR,2024,261,56
262,PCR,2867,262,100
263,PCR,2234,263,54
264,PCR,2150,264,60
265,PCR,2699,265,100
266,PCR,3372,266,100
267,PCR,1585,267,57
268,PCR,2670,268,55
269,PCR,2107,269,52
270,PCR,2389,270,100
271,PCR,2829,271,100
272,PCR,3277,272,100
273,PCR,1845,273,51
274,PCR,2936,274,100
275,PCR,2633,275,68
276,PCR,2775,276,100
277,PCR,2473,277,58
278,PCR,2065,278,100
279,PCR,2523,279,100
280,PCR,2960,280,100
281,PCR,2866,281,52
282,PCR,2052,282,74
283,PCR,2901,283,100
284,PCR,2033,284,54
285,PCR,2034,285,62
286,PCR,2394,286,100
287,PCR,2516,287,72
288,PCR,2430,288,100
289,PCR,2351,289,52
290,PCR,2402,290,100
291,PCR,2369,291,52
292,PCR,3198,292,100
293,PCR,3075,293,100
294,PCR,1791,294,58
295,PCR,2626,295,52
296,PCR,2060,296,100
297,PCR,2302,297,100
298,PCR,2393,298,65
299,PCR,1681,299,57
300,PCR,2149,300,100
301,PCR,2117,301,55
302,PCR,2366,302,55
303,PCR,3165,303,100
304,PCR,2422,304,56
305,PCR,2983,305,100
306,PCR,1864,306,100
307,PCR,3121,307,100
308,PCR,2808,308,100
309,PCR,3074,309,100
310,PCR,3123,310,100
311,PCR,2625,311,100
312,PCR,2439,312,100
313,PCR,2106,313,100
314,PCR,1726,314,100
315,PCR,3093,315,100
316,PCR,2143,316,100
317,PCR,2334,317,61
318,PCR,1546,318,100
319,PCR,1618,319,100
320,PCR,2676,320,100
321,PCR,3073,321,100
322,PCR,2269,322,100
323,PCR,3272,323,100
324,PCR,1914,324,52
325,PCR,2644,325,56
326,PCR,3072,326,100
327,PCR,3058,327,100
328,PCR,1956,328,100
329,PCR,2740,329,100
330,PCR,1824,330,47
331,PCR,3197,331,100
332,PCR,2011,332,100
333,PCR,2080,333,100
334,PCR,3092,334,100
335,PCR,2432,335,100
336,PCR,2054,336,100
337,PCR,2613,337,49
338,PCR,3106,338,100
339,PCR,3271,339,100
340,PCR,1652,340,100
341,PCR,2087,341,63
342,PCR,2115,342,100
343,PCR,3196,343,100
344,PCR,1883,344,100
345,PCR,2992,345,100
346,PCR,2514,346,100
347,PCR,2333,347,100
348,PCR,1928,348,100
349,PCR,3091,349,100
350,PCR,1778,350,100
351,PCR,2144,351,100
352,PCR,2554,352,100
353,PCR,2944,353,100
354,PCR,3057,354,100
355,PCR,2453,355,100
356,PCR,2826,356,100
357,PCR,2046,357,100
358,PCR,2325,358,100
359,PCR,2612,359,100
360,PCR,2463,360,100
361,PCR,2702,361,100
362,PCR,3250,362,100
363,PCR,1587,363,100
364,PCR,3249,364,100
365,PCR,3059,365,100
366,PCR,1727,366,100
367,PCR,1607,367,100
368,PCR,2125,368,100
369,PCR,1685,369,100
370,PCR,2609,370,100
371,PCR,2459,371,100
372,PCR,2889,372,100
373,PCR,1979,373,100
374,PCR,2648,374,100
375,PCR,2668,375,100
376,PCR,1680,376,100
377,PCR,2053,377,100
378,PCR,2986,378,100
379,PCR,2934,379,100
380,PCR,3270,380,100
381,PCR,2035,381,100
382,PCR,1604,382,100
383,PCR,2248,383,100
384,PCR,2109,384,100
385,PCR,3248,385,100
386,PCR,2221,386,100
387,PCR,3194,387,100
388,PCR,3164,388,100
389,PCR,2352,389,100
390,PCR,2001,390,100
391,PCR,2975,391,100
392,PCR,1844,392,100
393,PCR,2072,393,100
394,PCR,2935,394,100
395,PCR,1637,395,100
396,PCR,2938,396,100
397,PCR,2904,397,100
398,PCR,1739,398,100
399,PCR,1799,399,100
400,PCR,2903,400,100
401,PCR,1600,401,100
402,PCR,2510,402,100
403,PCR,1667,403,100
404,PCR,2638,404,100
405,PCR,2055,405,100
406,PCR,1832,406,100
407,PCR,2607,407,100
408,PCR,2575,408,100
409,PCR,3105,409,100
410,PCR,2545,410,100
411,PCR,2444,411,100
412,PCR,1559,412,100
413,PCR,1737,413,100
414,PCR,2610,414,100
415,PCR,2556,415,100
416,PCR,2259,416,100
417,PCR,3056,417,100
418,PCR,2298,418,100
419,PCR,3113,419,100
420,PCR,1793,420,100
421,PCR,2262,421,100
422,PCR,1794,422,100
423,PCR,2654,423,100
424,PCR,2438,424,100
425,PCR,3328,425,100
426,PCR,2180,426,100
427,PCR,3026,427,100
428,PCR,2196,428,100
429,PCR,2647,429,100
430,PCR,2420,430,100
431,PCR,1976,431,100
432,PCR,2242,432,100
